Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
7590285,COUNTRY,SWE,EUR,Europe,SEX,2021,Both,No data,,,
7598379,COUNTRY,KNA,AMR,Americas,SEX,2021,Both,No data,,,
7670464,COUNTRY,USA,AMR,Americas,SEX,2021,Both,No data,,,
7758654,COUNTRY,COM,AFR,Africa,SEX,2021,Both,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
7772663,COUNTRY,SWZ,AFR,Africa,SEX,2021,Both,4.8 [3.8 - 6.2],4.8,3.8,6.2
7961678,COUNTRY,COK,WPR,Western Pacific,SEX,2021,Both,No data,,,
8043890,COUNTRY,EST,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
8047938,COUNTRY,VNM,WPR,Western Pacific,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8048841,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8101276,COUNTRY,AUT,EUR,Europe,SEX,2021,Both,No data,,,
8160361,COUNTRY,GIN,AFR,Africa,SEX,2021,Both,0.43 [0.3 - 0.61],0.43,0.3,0.61
8164018,COUNTRY,GMB,AFR,Africa,SEX,2021,Both,0.64 [0.41 - 1],0.64,0.41,1.0
8215290,COUNTRY,GEO,EUR,Europe,SEX,2021,Both,0.15 [0.14 - 0.16],0.15,0.14,0.16
8320605,COUNTRY,AGO,AFR,Africa,SEX,2021,Both,0.54 [0.41 - 0.73],0.54,0.41,0.73
8359139,COUNTRY,GBR,EUR,Europe,SEX,2021,Both,No data,,,
8369814,COUNTRY,SVN,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8437193,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,2021,Both,No data,,,
8549779,COUNTRY,AZE,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8661881,COUNTRY,PRT,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8734855,COUNTRY,CIV,AFR,Africa,SEX,2021,Both,0.4 [0.24 - 0.62],0.4,0.24,0.62
8785707,COUNTRY,TJK,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8913957,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.01 - 0.18],0.1,0.01,0.18
8976572,COUNTRY,LSO,AFR,Africa,SEX,2021,Both,3.9 [3 - 5.1],3.9,3.0,5.1
9069462,REGION,AFR,,,SEX,2021,Both,0.7 [0.52 - 0.93],0.7,0.52,0.93
9089566,COUNTRY,MDA,EUR,Europe,SEX,2021,Both,0.32 [0.22 - 0.46],0.32,0.22,0.46
9236178,COUNTRY,KGZ,EUR,Europe,SEX,2021,Both,0.11 [0.1 - 0.12],0.11,0.1,0.12
9384990,COUNTRY,BOL,AMR,Americas,SEX,2021,Both,0.17 [0.13 - 0.21],0.17,0.13,0.21
9458407,COUNTRY,GAB,AFR,Africa,SEX,2021,Both,0.95 [0.53 - 1.7],0.95,0.53,1.7
9515795,COUNTRY,NIC,AMR,Americas,SEX,2021,Both,<0.1 [<0.1 - 0.16],0.1,0.1,0.16
9524050,COUNTRY,TTO,AMR,Americas,SEX,2021,Both,No data,,,
9554556,COUNTRY,KHM,WPR,Western Pacific,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9615090,COUNTRY,BGR,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9646853,COUNTRY,SLV,AMR,Americas,SEX,2021,Both,0.13 [<0.1 - 0.16],0.13,0.1,0.16
9648371,COUNTRY,HRV,EUR,Europe,SEX,2021,Both,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
9658349,COUNTRY,VUT,WPR,Western Pacific,SEX,2021,Both,No data,,,
9664852,REGION,EMR,,,SEX,2021,Both,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
9701823,COUNTRY,GRD,AMR,Americas,SEX,2021,Both,No data,,,
9719080,COUNTRY,DNK,EUR,Europe,SEX,2021,Both,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
