Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
7085815,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Male,2020,0.1 [<0.1 - 0.18],0.1,0.1,0.18
7132435,COUNTRY,MLI,AFR,Africa,SEX,Male,2020,0.29 [0.19 - 0.41],0.29,0.19,0.41
7141470,COUNTRY,GRC,EUR,Europe,SEX,Male,2020,0.11 [<0.1 - 0.13],0.11,0.1,0.13
7147692,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Male,2020,No data,,,
7148997,COUNTRY,SRB,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7177979,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7179583,COUNTRY,LUX,EUR,Europe,SEX,Male,2020,0.12 [<0.1 - 0.16],0.12,0.1,0.16
7197921,REGION,EMR,,,SEX,Male,2020,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
7233448,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Male,2020,No data,,,
7318275,COUNTRY,LSO,AFR,Africa,SEX,Male,2020,3.2 [2.5 - 4.2],3.2,2.5,4.2
7346317,COUNTRY,COD,AFR,Africa,SEX,Male,2020,0.18 [0.11 - 0.26],0.18,0.11,0.26
7412608,COUNTRY,FJI,WPR,Western Pacific,SEX,Male,2020,0.32 [0.17 - 0.64],0.32,0.17,0.64
7441049,COUNTRY,KIR,WPR,Western Pacific,SEX,Male,2020,No data,,,
7561123,COUNTRY,SMR,EUR,Europe,SEX,Male,2020,No data,,,
7615130,COUNTRY,AUT,EUR,Europe,SEX,Male,2020,No data,,,
7631113,COUNTRY,SWE,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7709121,COUNTRY,NIU,WPR,Western Pacific,SEX,Male,2020,No data,,,
7710808,COUNTRY,ZMB,AFR,Africa,SEX,Male,2020,1.9 [1.6 - 2.3],1.9,1.6,2.3
7835730,COUNTRY,NER,AFR,Africa,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7872228,COUNTRY,KOR,WPR,Western Pacific,SEX,Male,2020,No data,,,
7915500,COUNTRY,TGO,AFR,Africa,SEX,Male,2020,0.28 [0.18 - 0.44],0.28,0.18,0.44
7919724,COUNTRY,ERI,AFR,Africa,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7938840,COUNTRY,BRA,AMR,Americas,SEX,Male,2020,0.34 [0.31 - 0.36],0.34,0.31,0.36
7953206,COUNTRY,EST,EUR,Europe,SEX,Male,2020,0.12 [<0.1 - 0.17],0.12,0.1,0.17
7959429,COUNTRY,ZAF,AFR,Africa,SEX,Male,2020,2.4 [2.1 - 2.9],2.4,2.1,2.9
8014047,COUNTRY,MOZ,AFR,Africa,SEX,Male,2020,3.3 [2.8 - 4],3.3,2.8,4.0
8152777,COUNTRY,CPV,AFR,Africa,SEX,Male,2020,0.56 [0.4 - 0.76],0.56,0.4,0.76
8169841,COUNTRY,BRN,WPR,Western Pacific,SEX,Male,2020,No data,,,
8355454,COUNTRY,BWA,AFR,Africa,SEX,Male,2020,2.2 [1.8 - 2.6],2.2,1.8,2.6
