Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
5773217,COUNTRY,PRT,EUR,Europe,SEX,Both,2007,0.17 [0.14 - 0.19],0.17,0.14,0.19
5814943,COUNTRY,NLD,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5862751,COUNTRY,ALB,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5968962,COUNTRY,UZB,EUR,Europe,SEX,Both,2007,0.13 [0.11 - 0.14],0.13,0.11,0.14
6008141,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Both,2007,No data,,,
6044417,GLOBAL,GLOBAL,,,SEX,Both,2007,0.36 [0.29 - 0.46],0.36,0.29,0.46
6085411,COUNTRY,MLI,AFR,Africa,SEX,Both,2007,0.68 [0.53 - 0.83],0.68,0.53,0.83
6139358,COUNTRY,DMA,AMR,Americas,SEX,Both,2007,No data,,,
6369830,COUNTRY,MLT,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6424112,COUNTRY,SYC,AFR,Africa,SEX,Both,2007,No data,,,
6463556,COUNTRY,SVK,EUR,Europe,SEX,Both,2007,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6468352,COUNTRY,MNG,WPR,Western Pacific,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6478699,COUNTRY,SWZ,AFR,Africa,SEX,Both,2007,19 [18 - 21],19.0,18.0,21.0
6557967,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Both,2007,No data,,,
6617233,REGION,WPR,,,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6621574,COUNTRY,SSD,AFR,Africa,SEX,Both,2007,1.3 [1 - 1.7],1.3,1.0,1.7
6684494,COUNTRY,MDA,EUR,Europe,SEX,Both,2007,0.47 [0.34 - 0.69],0.47,0.34,0.69
6693207,COUNTRY,CUB,AMR,Americas,SEX,Both,2007,0.2 [0.17 - 0.23],0.2,0.17,0.23
6745064,COUNTRY,CHL,AMR,Americas,SEX,Both,2007,0.15 [0.12 - 0.18],0.15,0.12,0.18
6768872,COUNTRY,IND,SEAR,South-East Asia,SEX,Both,2007,No data,,,
6771822,COUNTRY,MEX,AMR,Americas,SEX,Both,2007,0.15 [0.13 - 0.16],0.15,0.13,0.16
6779569,COUNTRY,DNK,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6856228,COUNTRY,BDI,AFR,Africa,SEX,Both,2007,0.66 [0.53 - 0.82],0.66,0.53,0.82
6868917,COUNTRY,FIN,EUR,Europe,SEX,Both,2007,No data,,,
6922443,COUNTRY,NZL,WPR,Western Pacific,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6953872,COUNTRY,PRK,SEAR,South-East Asia,SEX,Both,2007,No data,,,
7029664,COUNTRY,CIV,AFR,Africa,SEX,Both,2007,1.7 [1.4 - 2],1.7,1.4,2.0
7067641,COUNTRY,AND,EUR,Europe,SEX,Both,2007,No data,,,
7147331,COUNTRY,COK,WPR,Western Pacific,SEX,Both,2007,No data,,,
7187415,COUNTRY,SVN,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7278153,COUNTRY,STP,AFR,Africa,SEX,Both,2007,No data,,,
7284267,COUNTRY,URY,AMR,Americas,SEX,Both,2007,0.21 [0.15 - 0.3],0.21,0.15,0.3
